GRADO / GRADUA;IKASTURTEA / CURSO;GRUPO;HIZKUNTZA / LENGUA;IRAKASGAIA / ASIGNATURA
ESTUDIOS INGLESES / INGELES IKASKETAK;1;16;CASTELLANO;LITERATURA GRECO-LATINA
ESTUDIOS INGLESES / INGELES IKASKETAK;1;31;EUSKERA;GREKOLATINDAR LITERATURA
ESTUDIOS INGLESES / INGELES IKASKETAK;2;66;INGELESA;HISTORIA Y CULTURA DE LOS PAÍSES DE HABLA INGLESA
ESTUDIOS INGLESES / INGELES IKASKETAK;3;66;INGELESA;LITERATURA INGLESA II
ESTUDIOS INGLESES / INGELES IKASKETAK;4;66;INGELESA;LITERATURA NORTEAMERICANA II
ESTUDIOS VASCOS / EUSKAL IKASKETAK;1;46;EUSKERA;EUSKAL GRAMATIKA I
ESTUDIOS VASCOS / EUSKAL IKASKETAK;2;46;EUSKERA;EUSKAL TESTUAK I
ESTUDIOS VASCOS / EUSKAL IKASKETAK;3;46;EUSKERA;TIPOLOGIA
ESTUDIOS VASCOS / EUSKAL IKASKETAK;4;46;EUSKERA;EUSKAL LEXIKOLOGIA ETA LEXIKOGRAFIA
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);1;16;CASTELLANO;LENGUA ALEMANA I
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);2;16;CASTELLANO;LENGUA ALEMANA III
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);3;16;CASTELLANO;LENGUA ALEMANA V
FILOLOGÍA (ALEMANA) / FILOLOGIA (ALEMANIERA);4;16;CASTELLANO;LINGUISTICA ALEMANA III: SINTAXIS
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);1;16;CASTELLANO;LENGUA LATINA I
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);2;16;CASTELLANO;LENGUA GRIEGA III
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);3;16;CASTELLANO;TEXTOS LATINOS I
FILOLOGÍA (CLÁSICA) / FILOLOGIA (KLASIKOA);4;16;CASTELLANO;LINGÜÍSTICA INDOEUROPEA
FILOLOGÍA (FRANCESA) / FILOLOGIA (FRANTSESA);1;16;CASTELLANO;FRANCÉS I
